2020-07-28 23:55:50.197 [main] INFO  com.takeaway.utilities.TestListeners - ========== Test Suite Started ==========
2020-07-28 23:55:55.716 [TestNG-test=List CRUD Operations-1] INFO  com.takeaway.utilities.RestAssuredUtility - GET request - /list/7052489/item_status?media_id=12345&media_type=tv
2020-07-28 23:55:55.891 [TestNG-test=List CRUD Operations-1] INFO  com.takeaway.utilities.RestAssuredUtility - DELETE request - /list/7052489/items with body - {"items":[{"media_type":"movie","media_id":123,"comment":"Movie item"}]}
2020-07-28 23:55:56.058 [TestNG-test=List CRUD Operations-1] INFO  com.takeaway.utilities.RestAssuredUtility - GET request - /list/7052489/item_status?media_id=123&media_type=movie
2020-07-28 23:55:56.222 [TestNG-test=List CRUD Operations-1] INFO  com.takeaway.utilities.RestAssuredUtility - DELETE request - /list/7052489
2020-07-28 23:55:56.462 [TestNG-test=List CRUD Operations-1] INFO  com.takeaway.utilities.RestAssuredUtility - GET request - /list/7052489?page=1
2020-07-28 23:55:56.624 [TestNG-test=List CRUD Operations-1] INFO  com.takeaway.testcases.ListPositiveTestcases - ========= Ended Execution of TestCase: [Test Delete items to created list] =========
2020-07-28 23:55:56.625 [TestNG-test=List CRUD Operations-1] INFO  com.takeaway.testcases.ListPositiveTestcases - ========= Execution of TestCase: [Test Update items to created list] =========
2020-07-28 23:55:56.625 [TestNG-test=List CRUD Operations-1] INFO  com.takeaway.utilities.RestAssuredUtility - POST request - /list with body - {"name":"cAKJV","iso_639_1":"en"}
2020-07-28 23:55:56.885 [TestNG-test=List CRUD Operations-1] INFO  com.takeaway.utilities.RestAssuredUtility - POST request - /list/7052490/items with body - {"items":[{"media_type":"movie","media_id":123,"comment":"Movie item"},{"media_type":"tv","media_id":12345,"comment":"Tv item"}]}
2020-07-28 23:55:57.070 [TestNG-test=List CRUD Operations-1] INFO  com.takeaway.utilities.RestAssuredUtility - GET request - /list/7052490/item_status?media_id=123&media_type=movie
2020-07-28 23:55:57.239 [TestNG-test=List CRUD Operations-1] INFO  com.takeaway.utilities.RestAssuredUtility - GET request - /list/7052490/item_status?media_id=12345&media_type=tv
